#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
5100,-190660.62859688938,377.79028529142823,25.445372992241932,2.45
5200,-190617.12319761165,369.3466538197249,25.30208877275555,2.44
5300,-190726.18791319616,366.8784977336836,25.06366929680514,2.44
5400,-190783.0426527016,367.82666469970496,25.019392320575744,2.44
5500,-190893.72643059806,358.8379184258921,24.603948523177603,2.44
5600,-190899.55521200597,351.9664044446085,24.731716556475824,2.44
5700,-190920.49657722027,350.8100956328274,24.71284425171807,2.44
5800,-190769.4589605963,339.7595608788017,24.837675815266707,2.44
5900,-190786.4715231331,339.4990656025862,24.84273241793187,2.44
6000,-190945.38268834213,344.4841277072576,24.65920753146274,2.43
6100,-191060.90724791854,348.3458019166864,24.60074505433587,2.43
6200,-191168.24936337478,353.2393041576378,24.76292532553955,2.43
6300,-191008.5088638832,341.84345208764444,25.063247246237523,2.43
6400,-191209.64981924853,354.3244965652315,24.85585217419561,2.43
6500,-191385.27494109562,355.5500385371146,24.677398331106097,2.43
6600,-191200.5863568266,336.556322835404,24.73212435818909,2.43
6700,-191414.4183967061,341.9071247522102,24.57434781292774,2.43
6800,-191656.71004363196,352.9960516331474,24.50383402563572,2.43
6900,-191513.32378019445,337.143519587637,24.34860671024512,2.43
7000,-191618.25928570773,336.03740409492485,24.42924442009686,2.43
7100,-191664.227413256,334.6326143099552,24.526437362290466,2.43
7200,-191717.24732595822,333.2564487377041,24.56146515755069,2.43
7300,-191828.88102097355,331.8154499204031,24.549996772784883,2.43
7400,-192031.7972229825,339.07894027855923,24.34297122255364,2.43
7500,-192012.72275073273,334.19199093194413,24.28502618400385,2.43
7600,-192167.22887089348,338.0320891871686,24.17979072099118,2.43
7700,-192171.23095534707,331.1123855974748,24.166465199146515,2.43
7800,-192208.88720802474,330.4155183326187,23.954264587624067,2.43
7900,-192009.023781067,314.60953204079317,24.030911218692104,2.42
8000,-192365.5595296544,327.56140182355944,23.896931662817124,2.42
8100,-192448.49824192136,332.6909142797319,23.78957659712615,2.42
8200,-192221.03664309008,319.39997545487665,23.83044847986286,2.42
8300,-192251.4496406619,319.765980222986,23.65785108894709,2.42
8400,-192238.9558066221,320.80446773455856,23.772254033204916,2.42
8500,-192443.15711408894,330.75338376523666,23.698992069927392,2.42
8600,-192400.702872996,325.2738097037412,23.694710537097823,2.41
8700,-192403.42533435044,324.283314665551,23.72346804670074,2.41
8800,-192414.51343530708,327.01143467840325,23.69431379808555,2.41
8900,-192523.49425911106,330.007286319705,23.87675469644797,2.41
9000,-192272.85576370044,322.0916679056207,23.710711769989835,2.41
9100,-192358.68544372183,326.2038993199078,23.881186291258324,2.4
9200,-192429.45670872764,326.5382337519878,23.798155552424223,2.4
9300,-192694.13584692235,338.7438086399699,23.734349199598686,2.4
9400,-192479.257158186,326.26389632515657,23.936600588633485,2.4
9500,-192428.67121017852,323.72912035321156,23.88623794771555,2.4
9600,-192498.61206177075,318.8239314149536,23.810825039051014,2.4
9700,-192592.71720239706,320.220979112075,23.66866960012558,2.4
9800,-192503.56260439462,313.14601549250597,23.628686116419228,2.4
9900,-192497.08012355602,312.98904489121156,23.64830511452743,2.4
10000,-192668.5955457408,318.59832207075107,23.53639113035108,2.4
